participant, condition, trial
, Visual, 0

time, action, data1, data2
1346269370096, start
1346269370268, initialize
1346269373443, select, 2, 3
1346269373926, select, 2, 2
1346269373942, swap
1346269373958, primary, 3.0
1346269373973, secondary, 3.0
1346269376127, select, 4, 2
1346269376346, select, 3, 2
1346269376361, swap
1346269376361, primary, 3.0
1346269377678, select, 6, 3
1346269377881, select, 6, 2
1346269377881, swap
1346269377881, primary, 3.0
1346269377897, secondary, 3.0
1346269377897, secondary, 4.0
1346269379442, select, 8, 7
1346269379614, select, 9, 7
1346269379614, swap
1346269379614, primary, 3.0
1346269382757, select, 8, 7
1346269382944, select, 9, 7
1346269382944, swap
1346269382944, primary, 3.0
1346269384443, select, 1, 7
1346269384630, select, 1, 8
1346269384645, swap
1346269384645, primary, 3.0
1346269384645, secondary, 3.0
1346269384645, secondary, 3.0
1346269384645, secondary, 3.0
1346269384645, secondary, 3.0
1346269384645, secondary, 3.0
1346269386519, select, 4, 6
1346269386675, select, 5, 6
1346269386675, swap
1346269386675, primary, 3.0
1346269386675, secondary, 3.0
1346269389021, select, 7, 5
1346269389240, select, 7, 6
1346269389240, swap
1346269389240, primary, 3.0
1346269391139, select, 6, 6
1346269391326, select, 7, 6
1346269391326, swap
1346269391326, primary, 3.0
1346269391326, secondary, 3.0
1346269432818, select, 4, 8
1346269433052, select, 4, 7
1346269433052, swap
1346269433052, primary, 6.0
1346269436111, select, 1, 6
1346269436298, select, 2, 6
1346269436314, swap
1346269436314, primary, 3.0
1346269436329, secondary, 3.0
1346269490104, timeout
1346269490104, stop
